2024-10-16 19:17:40,773 | INFO | root | Добавлена связь Word (2132) - Image ([32, 33, 34, 40, 45, 46]): , (<Word_Image: 2173>, True), (<Word_Image: 2174>, True), (<Word_Image: 2175>, True), (<Word_Image: 2176>, True), (<Word_Image: 2177>, True), (<Word_Image: 2178>, True)
2024-10-16 19:17:40,773 | INFO | root | Добавлено слово журналирование: журналирование, количество: 1
2024-10-16 19:17:40,841 | INFO | root | Добавлена связь Word (2133) - Image ([36]): , (<Word_Image: 2179>, True)
2024-10-16 19:17:40,841 | INFO | root | Добавлено слово фиолетовый: фиолетовый, количество: 1
2024-10-16 19:17:40,907 | INFO | root | Добавлена связь Word (2134) - Image ([36]): , (<Word_Image: 2180>, True)
2024-10-16 19:17:40,907 | INFO | root | Добавлено слово вязанный: вязанный, количество: 1
2024-10-16 19:17:40,974 | INFO | root | Добавлена связь Word (2135) - Image ([36]): , (<Word_Image: 2181>, True)
2024-10-16 19:17:40,974 | INFO | root | Добавлено слово зайчик: зайчик, количество: 1
2024-10-16 19:17:41,041 | INFO | root | Добавлена связь Word (2136) - Image ([37]): , (<Word_Image: 2182>, True)
2024-10-16 19:17:41,041 | INFO | root | Добавлено слово планета: планета, количество: 1
2024-10-16 19:17:41,140 | INFO | root | Добавлена связь Word (2137) - Image ([37, 38]): , (<Word_Image: 2183>, True), (<Word_Image: 2184>, True)
2024-10-16 19:17:41,140 | INFO | root | Добавлено слово земля: земля, количество: 1
2024-10-16 19:17:41,259 | INFO | root | Добавлена связь Word (2138) - Image ([37, 39]): , (<Word_Image: 2185>, True), (<Word_Image: 2186>, True)
2024-10-16 19:17:41,259 | INFO | root | Добавлено слово форме: форме, количество: 1
2024-10-16 19:17:41,325 | INFO | root | Добавлена связь Word (2139) - Image ([37]): , (<Word_Image: 2187>, True)
2024-10-16 19:17:41,325 | INFO | root | Добавлено слово звезды: звезды, количество: 1
2024-10-16 19:17:41,384 | INFO | root | Добавлена связь Word (2140) - Image ([38]): , (<Word_Image: 2188>, True)
2024-10-16 19:17:41,384 | INFO | root | Добавлено слово имеет: имеет, количество: 1
2024-10-16 19:17:41,442 | INFO | root | Добавлена связь Word (2141) - Image ([38]): , (<Word_Image: 2189>, True)
2024-10-16 19:17:41,442 | INFO | root | Добавлено слово форму: форму, количество: 1
2024-10-16 19:17:41,500 | INFO | root | Добавлена связь Word (2142) - Image ([38]): , (<Word_Image: 2190>, True)
2024-10-16 19:17:41,500 | INFO | root | Добавлено слово чемодана: чемодана, количество: 1
2024-10-16 19:17:41,559 | INFO | root | Добавлена связь Word (2143) - Image ([39]): , (<Word_Image: 2191>, True)
2024-10-16 19:17:41,559 | INFO | root | Добавлено слово пурпурная: пурпурная, количество: 1
2024-10-16 19:17:41,618 | INFO | root | Добавлена связь Word (2144) - Image ([39]): , (<Word_Image: 2192>, True)
2024-10-16 19:17:41,618 | INFO | root | Добавлено слово эйфелева: эйфелева, количество: 1
2024-10-16 19:17:41,676 | INFO | root | Добавлена связь Word (2145) - Image ([39]): , (<Word_Image: 2193>, True)
2024-10-16 19:17:41,676 | INFO | root | Добавлено слово башня: башня, количество: 1
2024-10-16 19:17:41,735 | INFO | root | Добавлена связь Word (2146) - Image ([39]): , (<Word_Image: 2194>, True)
2024-10-16 19:17:41,735 | INFO | root | Добавлено слово с: с, количество: 1
2024-10-16 19:17:41,793 | INFO | root | Добавлена связь Word (2147) - Image ([39]): , (<Word_Image: 2195>, True)
2024-10-16 19:17:41,793 | INFO | root | Добавлено слово ложкой: ложкой, количество: 1
2024-10-16 19:17:41,852 | INFO | root | Добавлена связь Word (2148) - Image ([39]): , (<Word_Image: 2196>, True)
2024-10-16 19:17:41,852 | INFO | root | Добавлено слово синицей: синицей, количество: 1
2024-10-16 19:17:41,910 | INFO | root | Добавлена связь Word (2149) - Image ([39]): , (<Word_Image: 2197>, True)
2024-10-16 19:17:41,910 | INFO | root | Добавлено слово рукаве: рукаве, количество: 1
2024-10-16 19:17:42,049 | INFO | root | Добавлена связь Word (2150) - Image ([42, 52, 81]): , (<Word_Image: 2198>, True), (<Word_Image: 2199>, True), (<Word_Image: 2200>, True)
2024-10-16 19:17:42,049 | INFO | root | Добавлено слово инкапсуляция: инкапсуляция, количество: 1
2024-10-16 19:17:42,165 | INFO | root | Добавлена связь Word (2151) - Image ([43, 55, 57]): , (<Word_Image: 2201>, True), (<Word_Image: 2202>, True), (<Word_Image: 2203>, True)
2024-10-16 19:17:42,165 | INFO | root | Добавлено слово полиморфизм: полиморфизм, количество: 1
2024-10-16 19:17:42,224 | INFO | root | Добавлена связь Word (2152) - Image ([46]): , (<Word_Image: 2204>, True)
2024-10-16 19:17:42,224 | INFO | root | Добавлено слово питоне: питоне, количество: 1
2024-10-16 19:17:42,282 | INFO | root | Добавлена связь Word (2153) - Image ([47]): , (<Word_Image: 2205>, True)
2024-10-16 19:17:42,282 | INFO | root | Добавлено слово кот: кот, количество: 1
2024-10-16 19:17:42,340 | INFO | root | Добавлена связь Word (2154) - Image ([47]): , (<Word_Image: 2206>, True)
2024-10-16 19:17:42,340 | INFO | root | Добавлено слово мешке: мешке, количество: 1
2024-10-16 19:17:42,430 | INFO | root | Добавлена связь Word (2155) - Image ([48, 88]): , (<Word_Image: 2207>, True), (<Word_Image: 2208>, True)
2024-10-16 19:17:42,430 | INFO | root | Добавлено слово мегакрутой: мегакрутой, количество: 1
2024-10-16 19:17:42,564 | INFO | root | Добавлена связь Word (2156) - Image ([48, 84, 88]): , (<Word_Image: 2209>, True), (<Word_Image: 2210>, True), (<Word_Image: 2211>, True)
2024-10-16 19:17:42,564 | INFO | root | Добавлено слово программист: программист, количество: 1
2024-10-16 19:17:42,639 | INFO | root | Добавлена связь Word (2157) - Image ([51]): , (<Word_Image: 2212>, True)
2024-10-16 19:17:42,639 | INFO | root | Добавлено слово ночь: ночь, количество: 1
2024-10-16 19:17:42,706 | INFO | root | Добавлена связь Word (2158) - Image ([51]): , (<Word_Image: 2213>, True)
2024-10-16 19:17:42,706 | INFO | root | Добавлено слово северное: северное, количество: 1
2024-10-16 19:17:42,773 | INFO | root | Добавлена связь Word (2159) - Image ([51]): , (<Word_Image: 2214>, True)
2024-10-16 19:17:42,773 | INFO | root | Добавлено слово сияние: сияние, количество: 1
2024-10-16 19:17:42,873 | INFO | root | Добавлена связь Word (2160) - Image ([51, 84]): , (<Word_Image: 2215>, True), (<Word_Image: 2216>, True)
2024-10-16 19:17:42,873 | INFO | root | Добавлено слово за: за, количество: 1
2024-10-16 19:17:42,940 | INFO | root | Добавлена связь Word (2161) - Image ([51]): , (<Word_Image: 2217>, True)
2024-10-16 19:17:42,940 | INFO | root | Добавлено слово окном: окном, количество: 1
2024-10-16 19:17:43,007 | INFO | root | Добавлена связь Word (2162) - Image ([54]): , (<Word_Image: 2218>, True)
2024-10-16 19:17:43,007 | INFO | root | Добавлено слово робот: робот, количество: 1
2024-10-16 19:17:43,074 | INFO | root | Добавлена связь Word (2163) - Image ([54]): , (<Word_Image: 2219>, True)
2024-10-16 19:17:43,074 | INFO | root | Добавлено слово вася: вася, количество: 1
2024-10-16 19:17:43,241 | INFO | root | Добавлена связь Word (2164) - Image ([57, 66, 81, 89]): , (<Word_Image: 2220>, True), (<Word_Image: 2221>, True), (<Word_Image: 2222>, True), (<Word_Image: 2223>, True)
2024-10-16 19:17:43,241 | INFO | root | Добавлено слово программировании: программировании, количество: 1
2024-10-16 19:17:43,300 | INFO | root | Добавлена связь Word (2165) - Image ([59]): , (<Word_Image: 2224>, True)
2024-10-16 19:17:43,300 | INFO | root | Добавлено слово чушь: чушь, количество: 1
2024-10-16 19:17:43,359 | INFO | root | Добавлена связь Word (2166) - Image ([59]): , (<Word_Image: 2225>, True)
2024-10-16 19:17:43,359 | INFO | root | Добавлено слово собачья: собачья, количество: 1
2024-10-16 19:17:43,417 | INFO | root | Добавлена связь Word (2167) - Image ([61]): , (<Word_Image: 2226>, True)
2024-10-16 19:17:43,417 | INFO | root | Добавлено слово один: один, количество: 1
2024-10-16 19:17:43,475 | INFO | root | Добавлена связь Word (2168) - Image ([61]): , (<Word_Image: 2227>, True)
2024-10-16 19:17:43,475 | INFO | root | Добавлено слово запрос: запрос, количество: 1
2024-10-16 19:17:43,533 | INFO | root | Добавлена связь Word (2169) - Image ([64]): , (<Word_Image: 2228>, True)
2024-10-16 19:17:43,534 | INFO | root | Добавлено слово холод: холод, количество: 1
2024-10-16 19:17:43,592 | INFO | root | Добавлена связь Word (2170) - Image ([64]): , (<Word_Image: 2229>, True)
2024-10-16 19:17:43,592 | INFO | root | Добавлено слово собачий: собачий, количество: 1
2024-10-16 19:17:43,681 | INFO | root | Добавлена связь Word (2171) - Image ([65, 66]): , (<Word_Image: 2230>, True), (<Word_Image: 2231>, True)
2024-10-16 19:17:43,682 | INFO | root | Добавлено слово наследование: наследование, количество: 1
